Court.Name..1.,District_FJCBonica,Notes
U.S. District Court for the District of Maine,0,
U.S. District Court for the District of Massachusetts,1,
U.S. District Court for the District of New Hampshire,2,
U.S. District Court for the District of Rhode Island,3,
U.S. District Court for the District of Puerto Rico,4,
U.S. District Court for the District of Connecticut,5,
U.S. District Court for the Northern District of New York,6,
U.S. District Court for the Eastern District of New York,7,
U.S. District Court for the Southern District of New York,8,
U.S. District Court for the Western District of New York,9,
U.S. District Court for the District of Vermont,10,
U.S. District Court for the District of Delaware,11,
U.S. District Court for the District of New Jersey,12,
U.S. District Court for the Eastern District of Pennsylvania,13,
U.S. District Court for the Middle District of Pennsylvania,14,
U.S. District Court for the Western District of Pennsylvania,15,
U.S. District Court for the District of Maryland,16,
U.S. District Court for the Eastern District of North Carolina,17,
U.S. District Court for the Middle District of North Carolina,18,
U.S. District Court for the Western District of North Carolina,19,
U.S. District Court for the District of South Carolina,20,
U.S. District Court for the Eastern District of Virginia,22,
U.S. District Court for the Western District of Virginia,23,
U.S. District Court for the Northern District of West Virginia,24,
U.S. District Court for the Southern District of West Virginia,25,
U.S. District Court for the Northern District of Alabama,26,
U.S. District Court for the Middle District of Alabama,27,
U.S. District Court for the Southern District of Alabama,28,
U.S. District Court for the Northern District of Florida,29,
U.S. District Court for the Western District of Louisiana,36,
U.S. District Court for the Northern District of Mississippi,37,
U.S. District Court for the Southern District of Mississippi,38,
U.S. District Court for the Northern District of Texas,39,
U.S. District Court for the Eastern District of Texas,40,
U.S. District Court for the Southern District of Texas,41,
U.S. District Court for the Western District of Texas,42,
U.S. District Court for the Eastern District of Kentucky,43,
U.S. District Court for the Western District of Kentucky,44,
U.S. District Court for the Eastern District of Michigan,45,
U.S. District Court for the Western District of Michigan,46,
U.S. District Court for the Northern District of Ohio,47,
U.S. District Court for the Southern District of Ohio,48,
U.S. District Court for the Eastern District of Tennessee,49,
U.S. District Court for the Middle District of Tennessee,50,
U.S. District Court for the Western District of Tennessee,51,
U.S. District Court for the Northern District of Illinois,52,
U.S. District Court for the Central District of Illinois,53,
U.S. District Court for the Southern District of Illinois,54,
U.S. District Court for the Northern District of Indiana,55,
U.S. District Court for the Southern District of Indiana,56,
U.S. District Court for the Eastern District of Wisconsin,57,
U.S. District Court for the Western District of Wisconsin,58,
U.S. District Court for the Eastern District of Arkansas,60,
U.S. District Court for the Western District of Arkansas,61,
U.S. District Court for the Northern District of Iowa,62,
U.S. District Court for the Southern District of Iowa,63,
U.S. District Court for the District of Minnesota,64,
U.S. District Court for the Eastern District of Missouri,65,
U.S. District Court for the Western District of Missouri,66,
U.S. District Court for the District of Nebraska,67,
U.S. District Court for the District of North Dakota,68,
U.S. District Court for the District of South Dakota,69,
U.S. District Court for the District of Arizona,70,
U.S. District Court for the Northern District of California,71,
U.S. District Court for the Eastern District of California,72,
U.S. District Court for the Central District of California,73,
U.S. District Court for the Southern District of California,74,
U.S. District Court for the District of Hawaii,75,
U.S. District Court for the District of Idaho,76,
U.S. District Court for the District of Montana,77,
U.S. District Court for the District of Nevada,78,
U.S. District Court for the District of Oregon,79,
U.S. District Court for the Eastern District of Washington,80,
U.S. District Court for the Western District of Washington,81,
U.S. District Court for the District of Colorado,82,
U.S. District Court for the District of Kansas,83,
U.S. District Court for the District of New Mexico,84,
U.S. District Court for the Northern District of Oklahoma,85,
U.S. District Court for the Eastern District of Oklahoma,86,
U.S. District Court for the Western District of Oklahoma,87,
U.S. District Court for the District of Utah,88,
U.S. District Court for the District of Wyoming,89,
U.S. District Court for the District of Columbia,90,
U.S. District Court for the District of Columbia (Supreme Court of the District of Columbia),90,
U.S. District Court for the Middle District of Florida,3A,
U.S. District Court for the Southern District of Florida,3C,
U.S. District Court for the Northern District of Georgia,3E,
U.S. District Court for the Middle District of Georgia,3G,
U.S. District Court for the Southern District of Georgia,3J,
U.S. District Court for the Eastern District of Louisiana,3L,
U.S. District Court for the Middle District of Louisiana,3N,
U.S. District Court for the District of Alaska,7-,
U.S. District Court for the District of Kentucky,NA,#not shown
U.S. District Court for the District of Louisiana,NA,#not shown
U.S. District Court for the District of North Carolina,NA,#not shown
U.S. District Court for the District of Pennsylvania,NA,#not shown
U.S. District Court for the Eastern District of Illinois,NA,"#not shown, dissolved"
U.S. District Court for the Eastern District of South Carolina,NA,"#not shown, dissolved"